"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","7.3","1","oscar","2006","Larry Charles","USA"
"Half Nelson","7.3","1","oscar","2006","Ryan Fleck","USA"
"Monster","7.3","1","oscar","2003","Patty Jenkins","USA, Germany"
"Seabiscuit","7.3","7","oscar","2003","Gary Ross","USA"
"Revolutionary Road","7.3","3","oscar","2008","Sam Mendes","USA, UK"
"The Baader Meinhof Complex","7.3","1","oscar","2008","Uli Edel","Germany, France, Czech Republic"
"The Phantom of the Opera","7.2","3","oscar","2004","Joel Schumacher","UK, USA"
"Shrek 2","7.2","2","oscar","2004","Andrew Adamson, Kelly Asbury, Conrad Vernon","USA"
"Dogtooth","7.2","1","oscar","2009","Giorgos Lanthimos","Greece"
"The Messenger","7.2","2","oscar","2009","Oren Moverman","USA"
"Winter's Bone","7.2","4","oscar","2010","Debra Granik","USA"
"Beginners","7.2","1","oscar","2010","Mike Mills","USA"
"War Horse","7.2","6","oscar","2011","Steven Spielberg","USA"
"The Ides of March","7.2","1","oscar","2011","George Clooney","USA"
"The Muppets","7.2","1","oscar","2011","James Bobin","USA"
"A Better Life","7.2","1","oscar","2011","Chris Weitz","USA"
"In Darkness","7.2","1","oscar","2011","Agnieszka Holland","Poland, Germany, Canada"
"Enchanted","7.2","3","oscar","2007","Kevin Lima","USA"
"In the Valley of Elah","7.2","1","oscar","2007","Paul Haggis","USA"
"Mongol: The Rise of Genghis Khan","7.2","1","oscar","2007","Sergey Bodrov","Russia, Germany, Kazakhstan"
"The Savages","7.2","2","oscar","2007","Tamara Jenkins","USA"
"Brave","7.2","1","oscar","2012","Mark Andrews, Brenda Chapman, Steve Purcell","USA"
"The Sessions","7.2","1","oscar","2012","Ben Lewin","USA"
"Memoirs of a Geisha","7.2","3","oscar","2005","Rob Marshall","USA"
"North Country","7.2","2","oscar","2005","Niki Caro","USA"
"Cars","7.2","2","oscar","2006","John Lasseter, Joe Ranft","USA"
"Cold Mountain","7.2","1","oscar","2003","Anthony Minghella","USA, UK, Romania, Italy"
"A Mighty Wind","7.2","1","oscar","2003","Christopher Guest","USA"
"Vicky Cristina Barcelona","7.2","1","oscar","2008","Woody Allen","Spain, USA"
"Frozen River","7.2","2","oscar","2008","Courtney Hunt","USA"
"Il divo: La spettacolare vita di Giulio Andreotti","7.2","1","oscar","2008","Paolo Sorrentino","Italy, France"
"Troy","7.1","1","oscar","2004","Wolfgang Petersen","USA, Malta, UK"
"The Passion of the Christ","7.1","3","oscar","2004","Mel Gibson","USA"
"Kinsey","7.1","1","oscar","2004","Bill Condon","USA, Germany"
"Being Julia","7.1","1","oscar","2004","Istv谩n Szab贸","Canada, USA, Hungary, UK"
"The Princess and the Frog","7.1","3","oscar","2009","Ron Clements, John Musker","USA"
"The Kids Are All Right","7.1","4","oscar","2010","Lisa Cholodenko","USA"
"Tinker Tailor Soldier Spy","7.1","3","oscar","2011","Tomas Alfredson","France, UK, Germany"
"Margin Call","7.1","1","oscar","2011","J.C. Chandor","USA"
"Transformers","7.1","3","oscar","2007","Michael Bay","USA"
