"tt1055292","Life as We Know It","6.5","114 mins.","Greg Berlanti","Katherine Heigl;Josh Duhamel;Josh Lucas","Comedy;Drama;Romance","Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident."
"tt1242432","I Spit on Your Grave","6.3","108 mins.","Steven R. Monroe","Sarah Butler;Jeff Branson;Andrew Howard","Crime;Horror;Thriller","A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead."
"tt1536044","Paranormal Activity 2","5.7","91 mins.","Tod Williams","Katie Featherston;Micah Sloat;Molly Ephraim","Horror","After experiencing what they think are a series of ""break-ins"", a family sets up security cameras around their home, only to realize that the events unfolding before them are more sinister than they seem."
"tt1465522","Tucker & Dale vs. Evil","7.6","89 mins.","Eli Craig","Tyler Labine;Alan Tudyk;Katrina Bowden","Comedy;Horror","Tucker & Dale are on vacation at their dilapidated mountain cabin when they are attacked by a group of preppy college kids."
"tt1175709","All Good Things","6.3","101 mins.","Andrew Jarecki","Ryan Gosling;Kirsten Dunst;Frank Langella","Crime;Drama;Mystery;Romance;Thriller","Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed."
"tt1279935","Date Night","6.3","88 mins.","Shawn Levy","Steve Carell;Tina Fey;Mark Wahlberg","Comedy;Crime;Romance;Thriller","In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous."
"tt0464154","Piranha 3D","5.6","88 mins.","Alexandre Aja","Elisabeth Shue;Jerry O'Connell;Richard Dreyfuss","Comedy;Horror","After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents."
"tt0970866","Little Fockers","5.4","98 mins.","Paul Weitz","Ben Stiller;Teri Polo;Robert De Niro","Comedy","Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker have what it takes?"
"tt1532503","Beginners","7.2","105 mins.","Mike Mills","Ewan McGregor;Christopher Plummer;MÃ©lanie Laurent","Comedy;Drama;Romance","A young man is rocked by two announcements from his elderly father: that he has terminal cancer, and that he has a young male lover."
"tt1243957","The Tourist","5.9","103 mins.","Florian Henckel von Donnersmarck","Johnny Depp;Angelina Jolie;Paul Bettany","Action;Romance;Thriller","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path."
"tt1458175","The Next Three Days","7.4","133 mins.","Paul Haggis","Russell Crowe;Elizabeth Banks;Liam Neeson","Crime;Drama;Romance;Thriller","A married couple's life is turned upside down when the wife is accused of a murder."
"tt1414382","You Again","5.7","105 mins.","Andy Fickman","Kristen Bell;Odette Annable;Sigourney Weaver","Comedy;Romance","When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancÃ©e's true colors."
"tt1438254","Charlie St. Cloud","6.3","99 mins.","Burr Steers","Zac Efron;Kim Basinger;Charlie Tahan","Drama;Fantasy;Romance","Charlie St. Cloud has been given the gift of seeing his deceased brother, but when a new love interest is in trouble he must choose between saving a life or continuing to see his brother everyday."
"tt1181791","Black Death","6.4","102 mins.","Christopher Smith","Eddie Redmayne;Sean Bean;Carice van Houten","Action;Drama;Horror;Mystery","Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village."
"tt1666186","Vampires Suck","3.4","82 mins.","Jason Friedberg","Aaron Seltzer;Jenn Proske;Matt Lanter;Diedrich Bader","Comedy","A spoof of vampire-themed movies, where teenager Becca finds herself torn between two boys. As she and her friends wrestle with a number of different dramas, everything comes to a head at their prom."
"tt1185416","When in Rome","5.4","91 mins.","Mark Steven Johnson","Kristen Bell;Josh Duhamel;Anjelica Huston","Comedy;Romance","Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors."
"tt1273235","A Serbian Film","5.4","104 mins.","Srdjan Spasojevic","Srdjan Todorovic;Sergej Trifunovic;Jelena Gavrilovic","Horror;Mystery;Thriller","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
"tt1314655","Devil","6.3","80 mins.","John Erick Dowdle","Chris Messina;Caroline Dhavernas;Bokeem Woodbine","Horror;Mystery;Thriller","A group of people are trapped in an elevator and the Devil is mysteriously amongst them."
"tt1220634","Resident Evil: Afterlife","5.9","97 mins.","Paul W.S. Anderson","Milla Jovovich;Ali Larter;Wentworth Miller","Action;Adventure;Horror;Sci-Fi","While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors who want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia."
"tt1196141","Diary of a Wimpy Kid","6.2","94 mins.","Thor Freudenthal","Zachary Gordon;Robert Capron;Rachael Harris","Comedy;Family","Live-action adaptation of Jeff Kinney's illustrated novel about a wise-cracking sixth grade student."
"tt1013743","Knight and Day","6.3","109 mins.","James Mangold","Tom Cruise;Cameron Diaz;Peter Sarsgaard","Action;Comedy;Romance","A story of a girl who gets mixed up with a spy trying to clear his name."
"tt1512235","Super","6.8","96 mins.","James Gunn","Rainn Wilson;Ellen Page;Liv Tyler","Comedy;Drama","After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, though he lacks for heroic skills."
"tt1470827","Monsters","6.4","94 mins.","Gareth Edwards","Scoot McNairy;Whitney Able;Mario Zuniga Benavides","Drama;Sci-Fi;Thriller","Six years after Earth has suffered an alien invasion a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the US border."
"tt0427152","Dinner for Schmucks","5.9","114 mins.","Jay Roach","Steve Carell;Paul Rudd;Stephanie Szostak","Comedy","When he finds out that his work superiors host a dinner celebrating the idiocy of their guests, a rising executive questions it when he's invited, just as he befriends a man who would be the perfect guest."
"tt1038686","Legion","5.1","100 mins.","Scott Stewart","Paul Bettany;Dennis Quaid;Charles S. Dutton","Action;Fantasy;Horror","A group of strangers fight for the welfare of humanity."
"tt1740707","Trollhunter","7.0","103 mins.","AndrÃ© Ãvredal","Otto Jespersen;Robert Stoltenberg;Knut NÃ¦rum","Comedy;Fantasy;Horror","A group of students investigates a series of mysterious bear killings, but learns that there are much more dangerous things going on. They start to follow a mysterious hunter, learning that he is actually a troll hunter."
"tt1020558","Centurion","6.4","97 mins.","Neil Marshall","Michael Fassbender;Dominic West;Olga Kurylenko","Action;Adventure;Drama;History;Thriller;War","A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack."
"tt1179056","A Nightmare on Elm Street","5.2","95 mins.","Samuel Bayer","Jackie Earle Haley;Rooney Mara;Kyle Gallner","Horror;Mystery;Thriller","A re-imagining of the horror icon Freddy Krueger, a serial-killer who wields a glove with four blades embedded in the fingers and kills people in their dreams, resulting in their real death in reality."
"tt1103153","Killers","5.3","100 mins.","Robert Luketic","Katherine Heigl;Ashton Kutcher;Tom Selleck","Action;Comedy;Romance;Thriller","A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple."
"tt1447972","StreetDance 3D","5.9","98 mins.","Max Giwa","Dania Pasquini;Nichola Burley;Richard Winsor;Ukweli Roach","Drama;Music;Romance","In order to win the Street Dance Championships, a dance crew is forced to work with ballet dancers from the Royal Dance School in exchange for rehearsal space."
"tt1369706","The Ward","5.6","89 mins.","John Carpenter","Amber Heard;Mamie Gummer;Danielle Panabaker","Horror;Thriller","A thriller centered on an institutionalized young woman who becomes terrorized by a ghost."
"tt1433108","Faster","6.5","98 mins.","George Tillman Jr.","Dwayne Johnson;Billy Bob Thornton;Maggie Grace","Action;Crime;Drama;Thriller","An ex-con sets out to avenge his brother's death after they were double-crossed during a heist years ago. During his campaign, however, he's tracked by a veteran cop and an egocentric hit man."
"tt1017451","The Runaways","6.6","106 mins.","Floria Sigismondi","Kristen Stewart;Dakota Fanning;Michael Shannon","Biography;Drama;Music","A coming-of-age biopic about '70s teenage band The Runaways."
"tt1182350","You Will Meet a Tall Dark Stranger","6.3","98 mins.","Woody Allen","Anthony Hopkins;Naomi Watts;Josh Brolin","Comedy;Drama;Romance","Sally's parents' marriage breaks up when her father undergoes a mid-lie crisis and impulsively weds a prostitute as Sally's own marriage also begins to disintegrate."
"tt1477076","Saw 3D: The Final Chapter","5.6","90 mins.","Kevin Greutert","Tobin Bell;Costas Mandylor;Betsy Russell","Crime;Horror","As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror."
"tt0914863","Unthinkable","7.1","97 mins.","Gregor Jordan","Samuel L. Jackson;Carrie-Anne Moss;Michael Sheen","Drama;Thriller","A psychological thriller centered around a black-ops interrogator and an FBI agent who press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S."
"tt1555064","Country Strong","6.2","117 mins.","Shana Feste","Garrett Hedlund;Gwyneth Paltrow;Leighton Meester","Drama;Music","A rising country-music songwriter works with a fallen star to work their way fame, causing romantic complications along the way."
"tt1139328","The Ghost Writer","7.3","128 mins.","Roman Polanski","Ewan McGregor;Pierce Brosnan;Olivia Williams","Mystery;Thriller","A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy."
