"tt2109184","Paranormal Activity 4","4.5","88 mins.","Henry Joost","Ariel Schulman;Stephen Dunham;Katie Featherston;Matt Shively","Horror","It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in."
"tt1386703","Total Recall","6.3","118 mins.","Len Wiseman","Colin Farrell;Bokeem Woodbine;Bryan Cranston","Action;Adventure;Sci-Fi;Thriller","A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run."
"tt1694020","The Guilt Trip","5.8","95 mins.","Anne Fletcher","Barbra Streisand;Seth Rogen;Julene Renee","Comedy","As inventor Andy Brewster is about to embark on the road trip of a lifetime, a quick stop at his mom's house turns into an unexpected cross-country voyage with her along for the ride."
"tt1586265","What to Expect When You're Expecting","5.6","110 mins.","Kirk Jones","Cameron Diaz;Matthew Morrison;J. Todd Smith","Comedy;Drama;Romance","A look at love through the eyes of five interconnected couples experiencing the thrills and surprises of having a baby, and ultimately coming to understand the universal truth that no matter what you plan for, life doesn't always deliver what's expected."
"tt1194173","The Bourne Legacy","6.7","135 mins.","Tony Gilroy","Jeremy Renner;Rachel Weisz;Edward Norton","Action;Adventure;Mystery;Thriller","An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
"tt1636826","Project X","6.6","88 mins.","Nima Nourizadeh","Thomas Mann;Oliver Cooper;Jonathan Daniel Brown","Comedy;Crime","3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads."
"tt1840417","The Words","7.0","102 mins.","Brian Klugman","Lee Sternthal;Bradley Cooper;Dennis Quaid;Olivia Wilde","Drama;Mystery;Romance","A writer at the peak of his literary success discovers the steep price he must pay for stealing another man's work."
"tt0837562","Hotel Transylvania","7.1","91 mins.","Genndy Tartakovsky","Adam Sandler;Kevin James;Andy Samberg","Animation;Comedy;Family;Fantasy","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter."
"tt1409024","Men in Black 3","6.9","106 mins.","Barry Sonnenfeld","Will Smith;Tommy Lee Jones;Josh Brolin","Action;Comedy;Sci-Fi","Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history."
"tt1596350","This Means War","6.3","97 mins.","McG","Reese Witherspoon;Chris Pine;Tom Hardy","Action;Comedy;Romance","Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman."
"tt1531901","Byzantium","6.5","118 mins.","Neil Jordan","Saoirse Ronan;Gemma Arterton;Sam Riley","Drama;Fantasy;Horror;Thriller","Residents of a coastal town learn, with deathly consequences, the secret shared by the two mysterious women who have sought shelter at a local resort."
"tt1496422","The Paperboy","5.8","107 mins.","Lee Daniels","Matthew McConaughey;Nicole Kidman;John Cusack","Thriller","A reporter returns to his Florida hometown to investigate a case involving a death row inmate."
"tt1232200","That's My Boy","5.6","116 mins.","Sean Anders","Adam Sandler;Andy Samberg;Leighton Meester","Comedy","While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding."
"tt1592873","LOL","4.0","97 mins.","Lisa Azuelos","Miley Cyrus;Douglas Booth;Ashley Greene","Comedy;Drama;Romance","As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her."
"tt1764234","Killing Them Softly","6.2","97 mins.","Andrew Dominik","Brad Pitt;Ray Liotta;Richard Jenkins","Crime;Thriller","Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse."
"tt1605630","American Reunion","6.8","113 mins.","Jon Hurwitz","Hayden Schlossberg;Jason Biggs;Alyson Hannigan;Seann William Scott","Comedy","Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion."
